Episode,Reward
0,-2325.1899843718857
1,-2553.389985172078
2,127.45000723935664
3,135.43000551126897
4,96.60000364668667
5,-183.24999261833727
6,32.52000633999705
7,60.820007072761655
8,-199.02999458275735
9,-42.61999228782952
10,-1601.7499886155128
11,151.04000527225435
12,194.01000409573317
13,133.72000576741993
14,123.13000525161624
15,-1343.409989124164
16,124.9300054460764
17,154.2800052445382
18,-155.69999378174543
19,88.80000521242619
20,133.18000547215343
21,218.4100035391748
22,254.23000238649547
23,88.67000403814018
24,2.020004667341709
25,65.91000488959253
26,235.71000472456217
27,289.8800015319139
28,173.26000429689884
29,145.6000036317855
30,58.170002492144704
31,162.5400029718876
32,262.260001052171
33,167.32000113278627
34,170.27000320330262
35,235.81000100076199
36,383.52999827452004
37,185.16000308282673
38,247.6900017336011
39,181.8200041335076
40,260.940001796931
41,163.00000309757888
42,336.4699999690056
43,243.33000285178423
44,323.0400011613965
45,248.9100028797984
46,119.91000243462622
47,276.82000088877976
48,230.30000206269324
49,271.02000238373876
50,307.18000082857907
51,254.30000065267086
52,243.18000138178468
53,270.8200017288327
54,157.83000186644495
55,141.6200028732419
56,209.0800016745925
57,135.16000133380294
58,188.58000154979527
59,184.16000189818442
60,232.87000159360468
61,174.2200013305992
62,208.79000255838037
63,210.4200017657131
64,364.73999934643507
65,170.56000263802707
66,236.2000008355826
67,248.88000195659697
68,275.73000078462064
69,287.8800011370331
70,271.55000088363886
71,77.6000029426068
72,281.5800013244152
73,139.45000080764294
74,189.71000168286264
75,274.7500005941838
76,269.1000016592443
77,217.96000103466213
78,322.37000065483153
79,222.92000173032284
80,253.33000137843192
81,300.5000010635704
82,358.79999967478216
83,225.15000046230853
84,260.38000127859414
85,300.08000103756785
86,334.3999996948987
87,254.47000196762383
88,370.57999825291336
89,357.26999894343317
90,333.32999935746193
91,308.79000093974173
92,380.38999951444566
93,160.77000101841986
94,298.72000059485435
95,358.8599992301315
96,244.1000013370067
97,336.2499998304993
98,381.5099988989532
99,296.92000069469213
100,226.29000124149024
101,301.94000127725303
102,246.87000081688166
103,187.7200034558773
104,288.70000061020255
105,260.8000014331192
106,366.4400000721216
107,293.4400005042553
108,283.29000093229115
109,345.089999884367
110,284.37000110931695
111,275.86000063084066
112,-125.55999664776027
113,268.2800012920052
114,-280.1699969712645
115,316.6000000294298
116,230.31000070646405
117,297.41000003553927
118,372.10999929346144
119,285.16000073961914
120,316.42000041902065
121,313.390000436455
122,329.55000090040267
123,276.9000004939735
124,276.09000083245337
125,338.3600001055747
126,242.69000037387013
127,299.17000027000904
128,381.8899990133941
129,310.9600002206862
130,288.98000102862716
131,315.01999947987497
132,270.62000160105526
133,317.9699999336153
134,327.10000046901405
135,316.7900005951524
136,286.98000080883503
137,277.36000072211027
138,337.10999957472086
139,290.70000030472875
140,339.1400001998991
141,267.7600007224828
142,314.2300003860146
143,268.940000589937
144,316.59000039845705
145,357.97999970056117
146,296.24000078067183
147,323.5000010356307
148,321.1499996203929
149,319.7100003156811
150,292.9700002055615
151,275.9200006648898
152,299.0800002478063
153,310.6300003696233
154,334.3800001125783
155,306.05999939888716
