Game,Reward 1,Reward 2
0,1238.3699837382883,-16.900001652538776
1,802.6899859104306,-59.810000475496054
2,815.8099865522236,-69.77000020816922
3,859.2999903969467,-34.61000099591911
4,758.2499872352928,-64.34000034444034
5,763.549986762926,-54.70000061020255
6,779.5999861415476,-59.330000249668956
7,820.2699860613793,-69.57000020891428
8,752.3499874230474,-64.44000034406781
9,754.2399870809168,-49.80000074394047
10,800.7299861051142,-59.460000248625875
11,852.1299855392426,-54.83000060915947
12,850.9599858112633,-54.93000060878694
13,769.8999869078398,-64.47000034339726
14,895.2699850294739,-69.45000020973384
15,767.4399868510664,-69.54000023379922
16,815.9299863297492,-64.68000036664307
17,761.189987257123,-64.5600002091378
18,859.5399853270501,-54.5800006352365
19,757.0899873431772,-64.58000034280121
20,816.0199867114425,-69.34000021032989
21,754.1399874575436,-64.53000013902783
22,781.4899866133928,-69.44000020995736
23,880.9299853853881,-59.450000477954745
24,814.3799860812724,-64.78000034205616
25,824.6999860703945,-64.80000034160912
26,771.8499862309545,-69.46000020951033
27,874.5099853593856,-59.580000476911664
28,788.4399870336056,-54.680000610649586
29,810.6299865581095,-69.24000021070242
30,761.0899871401489,-69.34000021032989
31,799.4799863249063,-50.13000076636672
32,824.9299860130996,-69.58000020869076
33,756.8899872582406,-64.5800003670156
34,766.9499868750572,-74.4400001000613
35,757.5899873934686,-59.66000034287572
36,747.0799876917154,-54.66000061109662
37,798.3999865036458,-49.910000743344426
38,748.0599874295294,-64.57000034302473
39,802.5199860930443,-54.910000475123525
40,755.5099878069013,-64.32000034488738
41,754.8199872262776,-59.57000047713518
42,901.0199850630015,-54.920000633224845
43,879.1099847368896,-64.70000036619604
44,755.1299873813987,-59.580000476911664
45,759.1399871390313,-64.3600003439933
46,752.9699868205935,-49.5900006107986
47,900.5299892555922,-31.19000117108226
48,760.329987257719,-54.57000061124563
49,805.7699860930443,-69.68000020831823
50,831.309985935688,-69.77000020816922
51,806.1699864678085,-64.48000034317374
52,758.75998676382,-59.7000004760921
53,776.3199868127704,-69.23000021092594
54,752.9799874573946,-64.33000034466386
55,758.2799873650074,-69.66000020876527
56,789.4899865165353,-64.69000034220517
57,834.1399859599769,-74.44000007584691
58,937.6799840573221,-59.80000047571957
59,771.1799866780639,-64.32000034488738
60,819.2699857521802,-69.58000020869076
61,762.4599868692458,-59.79000034183264
62,820.1499861944467,-59.680000342428684
63,780.489986654371,-74.43000010028481
64,950.3299874737859,-31.14000118523836
65,757.7799874152988,-64.56000034324825
66,824.5199859719723,-64.3600003439933
67,890.3699850104749,-64.55000034347177
68,905.4599850848317,-54.80000060983002
69,756.7099869009107,-64.54000011458993
70,760.1999871693552,-59.47000047750771
71,795.5899865683168,-54.61000061035156
72,782.2699866145849,-74.23000007681549
73,749.8199872132391,-59.580000476911664
74,749.7599873375148,-64.44000034406781
75,744.1099878698587,-69.32000021077693
76,757.6699872110039,-54.79000047594309
77,760.669987058267,-59.54000050202012
78,926.0199843775481,-69.38000020943582
79,921.3699841350317,-64.63000034168363
80,868.8099854718894,-59.93000047467649
81,765.1999869942665,-59.57000047713518
82,764.5399871245027,-64.58000034280121
83,773.6399870440364,-69.33000021055341
84,889.9399846401066,-64.5900003425777
85,840.029991267249,-25.260001126676798
86,762.6499872095883,-64.44000034406781
87,880.5199851430953,-59.780000476166606
88,864.2399854864925,-59.93000047467649
89,761.5899871066213,-59.47000047750771
90,811.3299861308187,-64.8100003413856
91,735.6999880447984,-49.65000061132014
92,747.8499874938279,-59.44000047817826
93,814.3299865536392,-64.77000034227967
94,762.0499869827181,-64.44000034406781
95,747.9599872361869,-54.80000060983002
96,763.0399872604758,-69.33000021055341
97,753.2199868820608,-59.580000476911664
98,876.9399852324277,-64.56000034324825
99,769.7499868683517,-64.80000034160912
100,834.0699854139239,-64.2500002104789
101,826.6199860777706,-69.35000021010637
102,789.9099870231003,-69.46000020951033
103,763.1499871294945,-64.44000034406781
104,764.1499870996922,-64.48000034317374
105,760.4899871982634,-64.48000034317374
106,863.6099854409695,-59.68000020831823
107,790.499986808747,-55.010000608861446
108,763.2499872334301,-69.44000020995736
109,734.9699873104692,-64.32000034488738
110,763.1199866924435,-69.46000020951033
111,767.1599869746715,-59.36000047810376
112,767.0499871391803,-69.23000021092594
113,766.2299871016294,-59.680000476539135
114,790.509986396879,-69.23000021092594
115,804.9799864366651,-59.820000475272536
116,873.2599853370339,-59.780000476166606
117,760.0799873005599,-64.54000036790967
118,755.0899880360812,-64.57000034302473
119,763.4399871062487,-69.33000021055341
120,765.6799872647971,-69.34000021032989
121,802.679986577481,-64.46000034362078
122,790.4599925428629,-25.020001152530313
123,857.3999859970063,-59.680000476539135
124,757.3499872721732,-69.33000021055341
125,759.9599869325757,-69.44000020995736
126,755.7899875175208,-64.55000034347177
127,772.0399868823588,-69.46000020951033
128,1218.2899846732616,-26.42000138759613
129,1002.9899896997958,-25.820001186802983
130,765.1899871043861,-74.34000007621944
131,766.2999873198569,-69.44000023417175
132,749.2399874124676,-59.44000047817826
133,765.4899873118848,-69.65000020898879
134,766.9499870669097,-69.34000021032989
135,768.5399869587272,-74.44000007584691
136,873.539990151301,-39.56000088714063
137,848.449985191226,-69.34000021032989
138,819.8299860879779,-64.58000034280121
139,957.9799886327237,-35.3500011023134
140,873.8999848719686,-59.80000047571957
141,745.6199876237661,-54.5600004773587
142,754.019987354055,-59.580000476911664
143,891.7299851998687,-74.44000007584691
144,772.5499868243933,-69.44000020995736
145,799.1999864801764,-50.010000767186284
146,772.2599867973477,-69.23000021092594
147,815.5099865403026,-64.66000034287572
148,865.6499857529998,-54.780000476166606
149,767.9399878457189,-64.58000034280121
150,758.9599868375808,-49.910000609233975
151,874.3699852656573,-69.47000020928681
152,890.819984940812,-69.55000020936131
153,785.7999865207821,-69.56000023335218
154,764.949986776337,-59.7000004760921
155,763.4199869260192,-59.47000047750771
156,789.2299864571542,-69.46000020951033
157,881.9199852570891,-64.55000034347177
158,753.3499874286354,-69.44000020995736
159,806.09998662211,-59.90000049956143
160,775.5799866672605,-64.33000034466386
161,765.7699870541692,-64.33000034466386
162,770.3099871817976,-69.33000021055341
163,864.9599857218564,-69.44000020995736
164,761.7499870434403,-69.44000020995736
165,824.1699860915542,-69.2500002104789
166,808.8699865564704,-59.46000047773123
167,775.9399867597967,-59.57000047713518
168,814.7299863733351,-64.54000034369528
