Episode,Reward
0,-9958.189616898075
1,-9870.079647582024
2,680.2499923296273
3,-918.9299542140216
4,746.4399935379624
5,669.0699963737279
6,501.68000162020326
7,280.25000613182783
8,578.0199986472726
9,663.0299957450479
10,-1483.039935639128
11,831.4299904908985
12,847.5299894865602
13,828.4399892091751
14,814.0499892849475
15,629.5499958973378
16,841.509988700971
17,823.3199898358434
18,883.6699891034514
19,779.3199906311929
20,928.7899881526828
21,914.1799880452454
22,739.5199925955385
23,669.7599936779588
24,765.1099906396121
25,-539.9199698679149
26,507.799999428913
27,-605.3999646846205
28,810.6299904584885
29,760.929989926517
30,813.789989521727
31,874.7399883214384
32,889.0099878292531
33,388.3300042990595
34,433.26999992504716
35,758.7699915990233
36,789.2499898131937
37,560.4699981305748
38,806.2599882818758
39,795.4899895004928
40,658.4599912706763
41,709.569994032383
42,630.2399986665696
43,723.6099907886237
44,780.1699904743582
45,795.8699905052781
46,573.5099946707487
47,218.77000855468214
48,676.739994417876
49,-281.2099758852273
50,710.5599922277033
51,329.14000412262976
52,765.4299897886813
53,828.0699889119714
54,795.7299887333065
55,-276.7999771051109
56,744.1299892216921
57,811.7099885679781
58,535.0699971262366
59,762.4799915440381
60,739.7299894858152
61,886.8599876500666
62,891.5799882747233
63,609.2899947762489
64,671.6999939698726
65,822.6599876284599
66,829.6599881090224
67,837.4599876683205
68,724.6299901884049
69,714.7399916648865
70,714.659990131855
71,682.5499919187278
72,819.8699875846505
73,677.4099929053336
74,773.8399893641472
75,819.629987699911
76,814.8099888078868
77,552.6199967805296
78,767.0999902449548
79,137.26001004502177
80,714.9799917563796
81,773.3099896442145
82,753.919990286231
83,334.6400026753545
84,519.7699986621737
85,-961.4599566608667
86,829.4899881165475
87,532.7599974796176
88,616.3899961076677
89,-222.689977562055
90,745.039988944307
91,730.5799906663597
92,577.7699930202216
93,583.6599925812334
94,522.0699935927987
95,545.3699939344078
96,648.3899924587458
97,493.2899974491447
98,756.369988868013
99,728.7099916562438
100,682.379990098998
101,755.2799890134484
102,666.0399904921651
103,721.7599892131984
104,671.0099902357906
105,583.7899948488921
106,698.3699929453433
107,652.6799906380475
108,634.6799914427102
109,603.9699911288917
110,507.1499965246767
111,626.7199911102653
112,733.8099911715835
113,652.6099902186543
114,666.2999901454896
115,784.229989843443
116,718.9399914871901
117,794.5499899443239
118,802.599988527596
119,745.809992166236
120,372.47000164166093
121,612.1699924413115
122,698.4699893333018
123,643.8799910731614
124,494.84999822452664
125,699.2499900497496
126,462.22999856621027
127,572.1299932450056
128,679.5999906230718
129,576.029992910102
130,704.0099912043661
131,717.049991035834
132,688.3299935106188
133,691.3299905527383
134,697.1399907339364
135,646.7599909082055
136,487.44999761134386
137,695.2099908012897
138,287.1300059296191
139,782.9799906555563
140,444.19999922439456
141,711.4899896476418
142,712.3999897427857
143,757.009989483282
144,823.7899888195097
145,833.1499877925962
146,721.2999899573624
147,849.0699872523546
148,737.9699894543737
149,739.8899899888784
