Game,Reward 1,Reward 2
0,835.6999888755381,705.9099908452481
1,862.3099881205708,511.74999446980655
2,849.4099883455783,632.3599922433496
3,853.9099878389388,617.5799934174865
4,860.3899885937572,584.669992947951
5,770.0499920342118,520.1599939055741
6,843.3799885753542,650.1299923267215
7,838.2199887093157,725.4999903477728
8,852.4099877346307,616.2499927226454
9,855.619988579303,611.1499931961298
10,871.3999887183309,486.75999538600445
11,878.3799887560308,474.37999492138624
12,839.7499890327454,690.3999906666577
13,860.1299894805998,552.8299925941974
14,753.8299912717193,850.5599878877401
15,798.2399893812835,836.6799889020622
16,862.6399881988764,568.1799928545952
17,846.7099892552942,669.9099916201085
18,859.7699883207679,595.1199934110045
19,857.569988399744,588.5399927869439
20,851.6999887283891,636.8599923327565
21,832.989988623187,736.4199899807572
22,865.529988097027,560.6699939947575
23,851.7399889715016,621.5599925108254
24,854.8699901010841,588.3999924100935
25,809.5799892097712,624.4199930168688
26,860.4599888063967,578.5899929162115
27,853.3399886433035,619.3699925187975
28,861.519989605993,575.269993679598
29,854.3999880999327,620.1099931690842
30,851.1599893085659,629.3099927864969
31,862.019989553839,516.7699942272156
32,850.6699890512973,633.9699920210987
33,715.2899911124259,848.6199878677726
34,864.3599886670709,508.1599947530776
35,868.2899884562939,512.3399942070246
36,844.999987334013,680.5899917017668
37,834.8999881781638,751.3099904451519
38,856.7499888408929,602.7499926704913
39,855.4099883362651,609.4899928625673
40,863.1299879085273,564.3699940051883
41,856.1799881123006,604.4399929195642
42,851.179988425225,621.4099928643554
43,864.279988784343,559.5799937210977
44,861.4499883707613,577.9599940180779
45,420.1699973065406,642.7999935019761
46,851.9199886322021,605.7599930539727
47,840.7499883640558,684.9599915593863
48,843.9199884999543,600.17999387905
49,844.77998771891,660.1199919208884
50,858.8399878144264,598.3099932726473
51,858.9699887614697,582.9499932136387
52,859.6699893604964,567.8599932715297
53,836.8799896463752,674.599991556257
54,842.3099887501448,697.4499915968627
55,857.5899891741574,585.63999267295
56,846.739988707006,625.6999932192266
57,872.0999886244535,501.69999398849905
58,862.1199881471694,564.999993339181
59,855.4699884559959,581.5799928940833
60,860.6099886652082,528.2999933995306
61,819.1199895981699,827.2899881694466
62,743.5699892062694,825.4799883924425
63,877.9199884310365,465.8699948322028
64,865.6299888398498,555.3599931634963
65,852.0999887883663,637.5599921364337
66,825.8399891220033,724.1999910734594
67,852.5799882002175,618.1999922096729
68,846.9599884860218,656.8399923369288
69,861.1699886228889,513.8999940883368
70,828.9399886839092,680.1999922469258
71,847.5399880968034,658.1599918454885
72,872.2299881447107,504.88999422453344
73,849.9299885388464,564.3699931260198
74,848.6199887990952,516.6899941954762
75,859.039988508448,603.3499928880483
76,851.2299886811525,597.1199933737516
77,867.7599879205227,530.4099937658757
78,828.5099884998053,654.2399916425347
79,857.3599886782467,572.2399929650128
80,851.9599883891642,625.7399931754917
81,846.4399886671454,650.3399915993214
82,792.6299898754805,844.4799883887172
83,863.7099878471345,564.3199933245778
84,855.039988361299,615.949992723763
85,830.7799884602427,772.2599899414927
86,871.3299882467836,501.4099955614656
87,876.2199883200228,469.8899953421205
88,853.0799876954406,610.8099927399307
89,868.6299888212234,514.5999944359064
90,847.1999881081283,656.8099913746119
91,850.5799886807799,619.569991922006
92,851.7799891158938,611.6199925001711
93,871.9699887558818,473.95999521389604
94,854.7999886423349,603.379991967231
95,854.6199885383248,610.5499920342118
96,859.3699889779091,585.8199932910502
97,847.9799883253872,660.7099914196879
98,836.7199887521565,718.3299905713648
99,838.639989528805,716.099991004914
100,867.949988534674,506.51999482512474
101,859.279988579452,598.2399932555854
102,773.7999904640019,821.7599897738546
103,869.409988598898,482.1399953365326
104,849.6599891521037,509.1099946927279
105,843.8799894675612,674.6699910555035
106,850.7899886947125,650.5999921038747
107,829.2299891524017,768.3499894309789
108,867.2999883256853,507.2799940444529
109,835.1999886129051,656.5399924553931
110,868.769988430664,522.0699940156192
111,856.3999885097146,575.1199936121702
112,853.9299885239452,622.029992422089
113,850.0699880756438,643.379992313683
114,854.889988495037,621.4599921945482
115,869.0099883321673,505.3599944077432
116,852.5399892553687,641.3599927574396
117,858.0699886512011,581.7299928162247
118,840.8899885937572,685.8799918033183
119,847.8999890387058,644.4399927183986
120,852.3699890859425,629.9499921761453
121,805.5899904537946,642.729992562905
122,862.0999892503023,583.4399938732386
123,839.3799892961979,691.3899909816682
124,862.7999883592129,576.4099938310683
125,860.6999886780977,564.7999935112894
126,846.7999883629382,649.7099923398346
127,851.1899882797152,648.5899921450764
128,838.7899891622365,720.6899908203632
129,837.3599898703396,728.8299898598343
130,858.8199883531779,590.889993654564
131,851.4399883355945,636.4099925514311
132,847.5999880507588,666.1299920845777
133,826.8699888270348,665.8599918596447
134,706.6899913474917,836.1699880287051
135,868.579988848418,539.1899935323745
136,810.1099891904742,716.48999084346
137,855.1399898566306,602.6199924014509
138,855.0099891033024,543.2699937913567
139,862.9599888250232,567.3799935653806
140,850.4299883451313,629.08999264054
141,828.44998957403,667.2899911198765
142,865.3199891336262,537.8699936214834
143,853.2799877040088,601.359993621707
144,840.8599884584546,708.5899919066578
145,872.0599884577096,500.45999436825514
146,851.4499884154648,615.789993006736
147,864.769988341257,521.1799938082695
148,733.2499912511557,843.629988482222
149,845.049988662824,650.0299922917038
150,856.5699889380485,578.7199935875833
151,863.1999882534146,527.8699941877276
152,845.3599884100258,597.7099928073585
153,845.3499889876693,669.4399915039539
154,848.3699889872223,602.399993237108
155,780.6799904182553,829.0599891878664
156,762.3599898479879,833.3499878961593
157,849.6399883367121,648.4299929197878
158,772.9599899258465,840.5099884625524
159,829.8999892193824,707.0399905536324
160,857.6399881988764,572.8799933791161
161,855.7999883908778,602.7399932220578
162,859.9399880766869,589.7099924329668
163,861.3299881312996,560.4699931200594
164,827.3899902906269,540.0699939522892
165,872.5799878649414,488.4699947889894
166,853.0899887587875,632.0299920719117
167,715.0699905660003,835.089989008382
168,793.349990868941,623.209992269054
169,856.7199884336442,595.3499939125031
170,862.4599883146584,534.3099939692765
171,852.0999887697399,586.5999934636056
172,857.2799890600145,552.0699928980321
173,840.5699885394424,698.2099917884916
174,871.199988655746,493.0999950990081
175,845.4599888473749,676.6399905793369
176,850.9899886678904,624.3599925898015
177,834.4999890960753,717.429991742596
178,872.8499882277101,491.8199939876795
179,863.4699877668172,515.8699947018176
180,861.5699880067259,562.8599934447557
181,851.2999888919294,571.1599932052195
182,859.1199892684817,585.8399932533503
183,826.2499895635992,739.57999057509
184,855.3099878001958,623.5499926414341
185,847.4299885742366,653.5799920149148
186,858.1799878403544,597.449993154034
187,848.9099881183356,633.0899920854717
188,835.9099882077426,694.1099914964288
189,849.459988668561,625.0899933520705
190,852.0799891017377,629.3899922799319
191,829.6199881657958,680.8799907006323
192,833.03998914361,662.7799917533994
193,849.659988598898,628.1499923598021
194,826.2799888513982,767.4599906392395
195,856.0799896810204,529.0199947692454
196,859.1799884214997,576.1799931675196
197,829.1999888978899,746.4699904005975
198,840.9799889288843,679.7699922826141
199,812.7899904083461,677.7499919570982
200,850.9199881926179,622.059991735965
201,857.4199881739914,579.2799933664501
202,865.1199879087508,538.0199941657484
203,825.5299894213676,751.1399891935289
204,859.1699885819107,591.4199928827584
205,852.0699885580689,640.199991915375
206,868.7999877892435,498.66999487392604
207,854.0799892917275,615.7599925678223
208,866.339988976717,527.2499941196293
209,840.2999889552593,706.2099912744015
210,852.0299883242697,633.149991882965
211,859.099988155067,542.3599938377738
212,712.0099902655929,851.5099879037589
213,839.3299887813628,701.6499914247543
214,863.6199891865253,538.5099932868034
215,876.3299881424755,496.6599945090711
216,857.2799883447587,604.759992506355
217,844.3799882382154,690.7499909456819
218,830.5699889305979,744.4899904485792
219,852.9799894671887,624.6999932043254
220,-428.4099654685706,-468.8199634179473
221,854.4099883791059,620.3499922472984
222,856.8199878111482,606.4599927216768
223,873.7299889493734,487.72999467141926
224,856.5399877615273,580.059992492199
225,-601.4499620627612,204.10000288672745
226,749.639990195632,831.1099888924509
227,858.5399886853993,565.2499936390668
228,682.7599911894649,851.8199886456132
229,859.7199888750911,577.5299931187183
230,826.7599881738424,658.6399913020432
231,856.2399882823229,558.3799937665462
232,831.929988598451,742.4099911637604
233,853.4699884783477,547.4899943117052
234,787.5199889168143,829.7599888127297
235,856.2699879761785,586.529992679134
236,865.1399885099381,568.6199947111309
237,868.4799888841808,529.4199938215315
238,841.6199885644019,615.6799933239818
239,840.7399881202728,689.519991422072
