Game,Reward 1,Reward 2
0,801.3399893324822,544.2099937591702
1,824.9199888184667,490.61999375745654
2,827.059989374131,506.74999508075416
3,812.9599891323596,542.4399936683476
4,815.2799889221787,498.84999402426183
5,809.8999894037843,519.2999933548272
6,855.7499882709235,452.5499953199178
7,843.9199883919209,481.93999494612217
8,817.3799889758229,529.9999944474548
9,784.5599899105728,528.1499938424677
10,809.5099894888699,502.17999413236976
11,814.3499897625297,469.5299944523722
12,823.3099893089384,505.4299944769591
13,844.7599882669747,505.6599947363138
14,830.2099886853248,559.5199934076518
15,852.329988270998,532.3999935388565
16,850.4599883016199,502.7599944919348
17,784.909990625456,458.1799948140979
18,831.3699890486896,479.33999432623386
19,798.0699897799641,498.3099946025759
20,858.4699877798557,517.5199934504926
21,812.8999894857407,527.4099942427129
22,845.2999877408147,502.9099932257086
23,782.0899897310883,850.7999895010144
24,856.7299879249185,522.6999937146902
25,819.9699894879013,495.6999935861677
26,854.889987943694,498.869993718341
27,848.3499880842865,449.95999513193965
28,839.4399883709848,504.8999939803034
29,856.1499882545322,517.2999941110611
30,857.2599878534675,529.4999942742288
31,841.439988322556,516.6699936743826
32,766.3399907760322,776.6299902293831
33,854.3099879678339,507.0999939404428
34,842.0999883264303,524.2899942379445
35,826.4199891239405,506.689994039014
36,833.0299888346344,488.8899947889149
37,852.9899875875562,538.7099945973605
38,823.1499890591949,509.07999324426055
39,772.2799908481538,484.7599938735366
40,812.7699890006334,508.1599945295602
41,849.219988334924,441.5799951925874
42,857.4799875542521,520.7899936307222
43,846.5199880823493,488.7299946192652
44,804.2599900998175,527.9599935244769
45,829.1499887946993,471.9599954150617
46,852.9499880131334,499.36999380216
47,782.7899907510728,476.679994776845
48,823.4399892613292,515.7599933017045
49,814.4199895653874,525.2699939552695
50,838.6599880382419,546.0699938330799
51,848.6899882946163,478.64999477379024
52,820.8999891094863,517.3299938794225
53,817.3999893590808,525.509993923828
54,804.0499897766858,523.5599941890687
55,833.2699885945767,495.04999437369406
56,-1889.339914534241,240.26000234484673
57,840.1999882273376,514.8599941134453
58,856.6099877823144,544.7299932632595
59,849.7999882120639,468.2899949159473
60,854.6199880093336,500.4499939084053
61,825.6999887190759,477.1299947183579
62,855.0599880442023,503.8099944200367
63,788.4899899605662,540.8399937599897
64,833.4099883381277,517.0699933301657
65,813.8599895052612,451.7799951583147
66,699.8799919262528,760.4199899733067
67,842.3099883142859,476.0799947194755
68,808.8599884025753,835.1699881423265
69,801.3399893939495,513.449994718656
70,854.0399877987802,486.4799946267158
71,824.3799890633672,542.8999937027693
72,848.8299879338592,526.0099943187088
73,853.7299878615886,542.2599932141602
74,837.869988637045,509.4499945063144
75,826.2699891384691,522.3699934538454
76,810.1199901215732,522.1999944001436
77,802.2299900259823,493.099994007498
78,758.3899913709611,495.90999424643815
