Episode,Reward
0,-18238.739330224693
1,-10580.919642671943
2,-9435.289590148255
3,827.5299890059978
4,816.0199897959828
5,814.4999898858368
6,-1308.5899408757687
7,723.1799908336252
8,752.5699940789491
9,540.3099955637008
10,695.4399919323623
11,816.2799900919199
12,709.1399912759662
13,553.1199943181127
14,-116.24998024478555
15,568.089998960495
16,188.1800083965063
17,603.1999970283359
18,171.72001032531261
19,715.1699924096465
20,673.7999917156994
21,722.789992718026
22,-363.89997408911586
23,551.4699979797006
24,689.9199918638915
25,605.1099983919412
26,716.3399918545038
27,690.8299930728972
28,272.940006069839
29,563.0999960564077
30,574.8699971213937
31,733.3999915849417
32,611.8899945113808
33,667.759992480278
34,-159.599980160594
35,288.0700053088367
36,790.689991960302
37,583.5299951545894
38,237.24000792577863
39,-260.68997507728636
40,134.48001051694155
41,414.0900003965944
42,708.7499911952764
43,701.9899912942201
44,706.3799908012152
45,748.5399910397828
46,164.80001013725996
47,660.2299929633737
48,797.6799921318889
49,707.5399904958904
50,596.2499959040433
51,447.10999953188
52,828.2399885393679
53,805.4499890152365
54,799.2899891082197
55,845.9899880345911
56,383.56000294722617
57,892.5199874825776
58,836.7599880155176
59,684.9699912946671
60,634.7699936851859
61,784.3299906160682
62,67.1600116379559
63,820.639988610521
64,778.8399903550744
65,830.5799886975437
66,864.8299881983548
67,737.5599898584187
68,829.099989425391
69,851.5299877021462
70,690.9899927023798
71,869.6599877364933
72,773.6999899223447
73,794.9199894461781
74,876.8999882265925
75,827.7199881598353
76,797.4099883511662
77,777.7399906329811
78,468.0099993404001
79,736.9999934025109
80,800.4999887887388
81,759.769992923364
82,751.1499910969287
83,777.1699885707349
84,833.7299894317985
85,225.77000881172717
86,871.519987758249
87,850.1699877362698
88,830.4099874533713
89,837.4999880809337
90,822.0399875976145
91,846.6599880643189
92,-1205.2799462918192
93,911.7499876189977
94,841.16998898983
95,696.4299918022007
96,850.2699890788645
97,859.9799872227013
98,825.6999881640077
99,708.999991396442
100,790.5599885582924
101,796.2099902778864
102,827.4499883651733
103,745.0999898277223
104,839.2199890837073
105,872.3599885310978
106,828.3699880037457
107,919.9499873239547
108,884.3299877997488
109,822.6199881266803
110,770.9899886343628
111,866.3599875066429
112,720.4799926429987
113,871.8899875599891
114,825.6799873448908
115,843.9999880902469
116,802.7899889145046
117,578.2599963080138
118,275.3900055307895
119,946.3999873418361
120,478.33999812602997
121,835.94998841919
122,833.3399874269962
123,829.6299885138869
124,833.6299883406609
125,825.0099896397442
126,778.8699908386916
127,-1420.9299420174211
128,815.2999890185893
129,869.4599883388728
130,770.0899895150214
131,879.5299876779318
132,774.1899897865951
133,789.8299892283976
134,845.1999876983464
135,876.0399880595505
136,268.2300050985068
137,880.5599877648056
138,838.2399876601994
139,951.4699870813638
140,792.2599917538464
141,898.0699872877449
142,541.3499995339662
143,444.1200036611408
144,-309.98997535556555
145,809.6399889905006
146,-1961.7699208837003
147,767.7399892080575
148,463.2799978815019
149,501.219998665154
150,-40.599982004612684
151,849.4299876317382
152,828.0899881180376
153,821.5799877103418
154,834.2999877259135
155,838.0599884539843
156,847.4499888010323
157,847.1599875986576
158,837.309987757355
159,844.3899882975966
160,833.3799878060818
161,837.2699879333377
162,849.0599885880947
163,836.8599882423878
164,788.4999894313514
165,847.619988206774
166,810.3099892511964
167,266.34000674262643
168,798.8399893157184
169,819.8499878980219
170,718.0099899508059
171,162.5000113900751
172,825.5999883413315
173,835.1699874009937
174,748.7199909407645
175,830.919988008216
176,852.9699880387634
177,893.4499889090657
