Episode,Reward
0,-18032.319329928607
1,-9951.889621859416
2,108.61001628823578
3,517.149994654581
4,356.669996811077
5,625.9299981333315
6,-748.469955349341
7,500.93000171519816
8,-312.47997051104903
9,476.4999951068312
10,528.8099957928061
11,601.7099958881736
12,281.1300020609051
13,472.0499962884933
14,463.88999579288065
15,274.05000223219395
16,517.9399939998984
17,389.8099963068962
18,419.1899962108582
19,336.0199980586767
20,462.22999590449035
21,212.44000319764018
22,432.58999606221914
23,456.399995572865
24,384.9399967994541
25,-244.66998284496367
26,460.2099958192557
27,343.7900080382824
28,520.8799945618957
29,503.1099940892309
30,498.829994501546
31,518.5399933792651
32,131.21000654622912
33,596.0499947648495
34,448.6599952429533
35,431.2399957533926
36,437.12999526783824
37,439.6299951840192
38,428.91999534517527
39,575.2299937494099
40,583.6899946387857
41,546.6999923679978
42,432.299995072186
43,443.1699964608997
44,598.78999600932
45,485.669994328171
46,591.7699963375926
47,629.9799975641072
48,636.3199961557984
49,571.0899931807071
50,456.7199957650155
51,611.2899926807731
52,686.7199922539294
53,560.0899940617383
54,497.7499947901815
55,496.1399940568954
56,488.7899949718267
57,569.7899925280362
58,590.7799919396639
59,577.4999923016876
60,656.6199912857264
61,589.889992730692
62,558.7399931140244
63,652.849994989112
64,517.7699941713363
65,389.3299967646599
66,538.5899932924658
67,444.11999464966357
68,480.1699949335307
69,493.76999334804714
70,577.9199987594038
71,541.0099934209138
72,445.59999523870647
73,564.2299944572151
74,514.6199935264885
75,565.7899927794933
76,543.3499937374145
77,523.3099973015487
78,687.7599913552403
79,146.21001015417278
80,591.1599924936891
81,596.8399932663888
82,586.6599920969456
83,774.1099909953773
84,586.0199918225408
85,778.3899895679206
86,673.7999906819314
87,547.8999930582941
88,584.1499931290746
89,689.7699903901666
90,671.7599953841418
91,690.5999923013151
92,692.3099915087223
93,647.6299917455763
94,552.8199933245778
95,712.9899947587401
96,605.4999917279929
97,640.0799914579839
98,760.7699906900525
99,571.1899990178645
100,527.3699981942773
101,308.76000501960516
102,643.0699954908341
103,750.0899920873344
104,657.789994770661
105,628.53999110125
106,790.5799896866083
107,680.8699922896922
108,704.1799922399223
