Episode,Reward
0,-3059.619982622564
1,-2434.0599841475487
2,-1348.859988592565
3,-869.2399895861745
4,-229.94998846016824
5,-358.60999053530395
6,-634.4899923242629
7,-4.779992990195751
8,31.080007769167423
9,109.03000499866903
10,-48.439993949607015
11,-339.42999409511685
12,139.42000469751656
13,90.68000399135053
14,94.32000398077071
15,243.40000369772315
16,221.10000272095203
17,127.75000543706119
18,6.350003531202674
19,220.4900028910488
20,253.76000161096454
21,220.79000160098076
22,193.12000307440758
23,272.7600006945431
24,177.83000131696463
25,288.6999998278916
26,56.31000374816358
27,276.3999994620681
28,282.10999994166195
29,159.630001751706
30,310.0900013986975
31,370.06999962218106
32,294.22000194340944
33,313.33000179566443
34,137.09000317379832
35,178.58000260405242
36,175.71000234410167
37,291.6100006569177
38,228.02000227756798
39,151.77000172808766
40,157.46000165864825
41,293.8800013512373
42,263.36000176519156
43,269.49000009149313
44,307.6300004404038
45,281.01000186800957
46,288.6500007901341
47,239.9900015797466
48,257.510001918301
49,117.70000108145177
50,303.630000654608
51,291.4899998307228
52,317.8600002937019
53,292.1000002101064
54,371.2199994660914
55,288.83000040240586
56,279.63000064343214
57,300.80000011995435
58,322.0700002461672
59,321.15999921783805
60,337.1399996969849
61,296.54000028781593
62,397.1699987836182
63,307.02999991737306
64,342.9799992162734
65,356.4899992272258
66,336.53999940119684
67,346.16999915987253
68,345.3899992350489
69,384.2399988658726
70,368.06999914348125
71,295.2299998346716
72,381.62999873794615
73,339.70999987237155
74,381.2299985457212
75,354.30999986827374
76,350.89999918453395
77,274.43999969772995
78,292.3199998382479
79,275.9699997548014
80,287.7900003325194
81,351.3299994338304
82,327.1299995519221
83,339.16999937035143
84,327.25000040605664
85,348.0399996545166
86,394.8599997796118
87,385.1799990925938
88,336.8800001014024
89,367.44999990426004
90,320.8300007916987
91,322.71000033803284
92,385.2699997127056
93,392.4499993920326
94,390.649999557063
95,382.1400000564754
96,306.54000059328973
97,341.6600002963096
98,194.1500016655773
99,353.7099994830787
100,303.48000065237284
101,390.57000025734305
102,353.70000006072223
103,342.53000084124506
104,312.31000042147934
105,319.1799992322922
106,262.4100002553314
107,337.8999995868653
108,308.80999995954335
109,363.1199996750802
110,396.2399993110448
111,385.46999889053404
112,276.9500007033348
113,385.12999927438796
114,290.7000001370907
115,382.22999908030033
116,285.0000003669411
117,305.03999986313283
118,373.31999980285764
119,208.94000094383955
120,282.90000014565885
121,331.44000053592026
122,363.00999940000474
123,320.10999998636544
124,383.95999850705266
125,373.73999908566475
126,351.8599992580712
127,383.6799990851432
128,189.42000077292323
129,394.5899993441999
130,387.3899991158396
131,338.8499994855374
132,310.56999976933
133,382.3999987151474
134,378.86999916285276
135,344.73000010848045
136,342.3799993041903
137,380.169998832047
138,270.23000090941787
139,383.8699989002198
140,378.80999940261245
141,389.959999229759
142,383.3199997097254
143,370.57999943196774
144,376.75999866984785
145,358.25999934226274
146,350.0200004223734
147,378.79999914579093
148,298.99000054597855
149,389.62999885715544
150,388.9999990966171
151,242.73000013828278
152,299.4800001811236
153,382.43999881483614
154,384.68999935127795
155,384.87999882921576
156,220.1300008520484
157,310.60000012815
158,379.58999976702034
159,217.55000247061253
160,386.04999917559326
161,373.9499995280057
162,386.2099991682917
163,264.8700013291091
164,381.24999873153865
165,385.4799993056804
166,389.0199996959418
167,381.2899991031736
168,377.469998896122
169,377.87999896891415
170,268.56000065244734
171,386.0899984538555
172,388.5599992070347
173,384.6099989041686
174,385.34999874792993
175,376.82999960146844
176,377.39999832212925
177,332.9499993342906
178,382.03999904729426
179,387.46999888308346
180,373.29999910108745
181,353.35999917797744
182,231.3200010266155
183,331.27000021375716
184,325.0300002731383
185,375.38999916240573
186,381.0499990954995
187,378.7399988435209
188,384.58999866247177
189,296.2000003736466
190,335.6499996650964
191,355.34999947063625
192,383.35999922826886
193,353.009999204427
194,356.619998909533
195,378.89999918453395
196,382.8999986182898
197,328.1199999600649
198,171.64000108651817
199,383.5999997071922
200,375.66999918967485
201,376.12999924458563
202,382.72999945282936
203,291.710001161322
204,378.6199993696064
205,380.27999893017113
206,382.2299992106855
207,372.29999871738255
208,346.41999931260943
209,387.7199991811067
210,381.549999659881
211,379.0999997705221
212,379.0999987311661
213,371.1499989461154
214,373.4299987833947
215,354.4499994684011
216,383.58999827876687
217,383.759998716414
218,387.65999895334244
219,374.8599991723895
220,383.42999839037657
221,373.8799988552928
222,379.5599989052862
223,315.2800004314631
224,369.3199983853847
225,363.65999872237444
226,382.12999887019396
227,373.93999852240086
228,390.8499985039234
229,392.71999854780734
230,394.25999875739217
231,326.9300002120435
232,296.6500003095716
233,190.3200006596744
234,389.43999891355634
235,377.5399985667318
236,386.3899987973273
237,302.63000088743865
238,381.7199992518872
239,381.90999909862876
240,382.7399989385158
241,378.9699990786612
242,389.38999811559916
243,380.5099987462163
244,386.5399988181889
245,371.0299984589219
246,369.8299991488457
247,381.9499984495342
248,335.2299994081259
