Episode,Reward
0,-584.800008058548
1,-379.90000449121
2,-2704.4000361710787
3,-249.3000021725893
4,-1763.6000208109617
5,-1907.7000229358673
6,-419.20000146329403
7,-868.1000071167946
8,-959.7000081539154
9,-851.1000064909458
10,-739.9000055491924
11,-224.2999974936247
12,-603.4000037759542
13,-446.70000192523
14,-504.0000035613775
15,-28.699996396899223
16,-367.2000014781952
17,85.20000821352005
18,-45.09999863803387
19,-124.39999774098396
20,-300.39999847114086
21,203.90000765025616
22,-305.9999988973141
23,54.500006675720215
24,-23.099995374679565
25,15.500006005167961
26,-47.299994111061096
27,327.70001451671124
28,-418.89999856054783
29,64.50000724196434
30,143.60000847280025
31,128.20000682771206
32,108.00000724196434
33,230.70001229643822
34,296.80001182854176
35,-345.10000033676624
36,-77.49999357759953
37,-461.09999972581863
